episode,step,warehouse_1_stock,warehouse_2_stock,action,reward,holding_cost,stockout_cost,order_cost,total_cost,service_level,explanation
1,31,7.0,0.0,8,-25172.386206896554,0.0,2180.0,8000.0,10180.0,0.06034482758620685,Large order 80 units (stock: 7)
1,32,0.0,0.0,8,-8025.5,25.5,0.0,8000.0,8025.5,1.0,Large order 80 units (stock: 0)
1,33,2.0,49.0,8,-6558.0,58.0,0.0,6500.0,6558.0,1.0,Large order 80 units (stock: 2)
1,34,22.0,94.0,8,-4593.5,93.5,0.0,4500.0,4593.5,1.0,Large order 80 units (stock: 22)
1,35,59.0,128.0,4,-2113.0,113.0,0.0,2000.0,2113.0,1.0,Large order 40 units (stock: 59)
1,36,83.0,143.0,2,-1125.5,125.5,0.0,1000.0,1125.5,1.0,Order 20 units (stock: 83)
1,37,133.0,118.0,0,-125.5,125.5,0.0,0.0,125.5,1.0,No order (stock: 133)
1,38,149.0,102.0,0,-111.0,111.0,0.0,0.0,111.0,1.0,No order (stock: 149)
1,39,145.0,77.0,0,-1061.5,61.5,0.0,1000.0,1061.5,1.0,No order (stock: 145)
1,40,96.0,27.0,0,-7306.80341880342,28.0,1000.0,3500.0,4528.0,0.5726495726495726,No order (stock: 96)
1,41,56.0,0.0,4,-6812.927906976744,4.5,380.0,6000.0,6384.5,0.7790697674418605,Large order 40 units (stock: 56)
1,42,9.0,0.0,8,-12045.5,13.5,960.0,8000.0,8973.5,0.52,Large order 80 units (stock: 9)
1,43,0.0,27.0,8,-7541.0,41.0,0.0,7500.0,7541.0,1.0,Large order 80 units (stock: 0)
1,44,6.0,76.0,8,-5095.5,95.5,0.0,5000.0,5095.5,1.0,Large order 80 units (stock: 6)
1,45,60.0,131.0,4,-2140.0,140.0,0.0,2000.0,2140.0,1.0,Large order 40 units (stock: 60)
1,46,111.0,169.0,0,-149.5,149.5,0.0,0.0,149.5,1.0,No order (stock: 111)
1,47,150.0,149.0,0,-133.0,133.0,0.0,0.0,133.0,1.0,No order (stock: 150)
1,48,156.0,110.0,0,-93.0,93.0,0.0,0.0,93.0,1.0,No order (stock: 156)
1,49,116.0,70.0,0,-1551.5,51.5,0.0,1500.0,1551.5,1.0,No order (stock: 116)
1,50,77.0,26.0,2,-7899.864516129033,1.0,1080.0,4500.0,5581.0,0.6516129032258065,Order 20 units (stock: 77)
1,51,2.0,0.0,8,-24663.05641025641,0.0,2480.0,8000.0,10480.0,0.20512820512820518,Large order 80 units (stock: 2)
2,0,50.0,50.0,5,-5086.0,6.0,80.0,5000.0,5086.0,0.9565217391304348,Large order 50 units (stock: 50)
2,1,12.0,0.0,8,-38628.64466019417,0.0,3880.0,8000.0,11880.0,0.058252427184465994,Large order 80 units (stock: 12)
2,2,0.0,0.0,8,-18142.138388625594,0.0,2220.0,8000.0,10220.0,0.47393364928909953,Large order 80 units (stock: 0)
